股票代码,date,prediction,TS代码,股票名称,地域,所属行业,股票全称,英文全称,拼音缩写,市场类型,交易所代码,上市日期,实控人名称,实控人企业性质
600760,202512,1.4277751998939865,600760.SH,中航沈飞,山东,航空,中航沈飞股份有限公司,AVIC Shenyang Aircraft Company Limited,ZHSF,主板,SSE,19961011,国务院国有资产监督管理委员会,中央企业
000789,202512,1.427330435021326,000789.SZ,万年青,江西,水泥,江西万年青水泥股份有限公司,"Jiangxi Wannianqing Cement Co.,Ltd.",WNQ,主板,SZSE,19970923,江西省国有资产监督管理委员会,地方国有企业
000544,202512,1.427109360424203,000544.SZ,中原环保,河南,环境保护,中原环保股份有限公司,"Central Plains Environment Protection Co.,Ltd.",ZYHB,主板,SZSE,19931208,郑州市人民政府,地方国有企业
605116,202512,1.4264435209544202,605116.SH,奥锐特,浙江,化学制药,奥锐特药业股份有限公司,"Aurisco Pharmaceutical Co.,Ltd.",ART,主板,SSE,20200921,彭志恩,民营企业
000030,202512,1.4256697598644907,000030.SZ,富奥股份,吉林,汽车配件,富奥汽车零部件股份有限公司,FAWER Automotive Parts Limited Company,FAGF,主板,SZSE,19930929,吉林省人民政府国有资产监督管理委员会,地方国有企业
601658,202512,1.4256008218069391,601658.SH,邮储银行,北京,银行,中国邮政储蓄银行股份有限公司,"Postal Savings Bank Of China Co., Ltd.",YCYH,主板,SSE,20191210,中国邮政集团有限公司,中央企业
601825,202512,1.4256008218069391,601825.SH,沪农商行,上海,银行,上海农村商业银行股份有限公司,"Shanghai Rural Commercial Bank Co., Ltd.",HNSH,主板,SSE,20210819,无实际控制人,其他
001872,202512,1.4256008218069391,001872.SZ,招商港口,深圳,港口,招商局港口集团股份有限公司,"China Merchants Port Group Co., Ltd.",ZSGK,主板,SZSE,19930505,国务院国有资产监督管理委员会,中央企业
003816,202512,1.4256008218069391,003816.SZ,中国广核,深圳,新型电力,中国广核电力股份有限公司,"CGN Power Co.,Ltd.",ZGGH,主板,SZSE,20190826,国务院国有资产监督管理委员会,中央企业
601398,202512,1.4256008218069391,601398.SH,工商银行,北京,银行,中国工商银行股份有限公司,Industrial and Commercial Bank of China Limited,GSYH,主板,SSE,20061027,无实际控制人,其他
601319,202512,1.4256008218069391,601319.SH,中国人保,北京,保险,中国人民保险集团股份有限公司,The People's Insurance Company (Group) of China Limited,ZGRB,主板,SSE,20181116,中华人民共和国财政部,中央企业
603195,202512,1.4256008218069391,603195.SH,公牛集团,浙江,家用电器,公牛集团股份有限公司,"Goneo Group Co., Ltd.",GNJT,主板,SSE,20200206,阮立平,民营企业
