ts_code,name,market,publisher,category,base_date,base_point,list_date,symbol_num,market_id
000059.SH,全R成长,SSE,中证指数有限公司,风格指数,20031231,1000,20100104,000059,1
000060.SH,全R价值,SSE,中证指数有限公司,风格指数,20031231,1000,20100104,000060,1
000062.SH,上证沪企,SSE,中证指数有限公司,主题指数,20051231,1000,20100104,000062,1
000063.SH,上证周期,SSE,中证指数有限公司,主题指数,20031231,1000,20100203,000063,1
000064.SH,非周期,SSE,中证指数有限公司,主题指数,20031231,1000,20100203,000064,1
000065.SH,上证龙头,SSE,中证指数有限公司,主题指数,20031231,1000,20100209,000065,1
000066.SH,上证商品,SSE,中证指数有限公司,主题指数,20031231,1000,20100430,000066,1
000067.SH,上证新兴,SSE,中证指数有限公司,主题指数,20031231,1000,20100430,000067,1
000068.SH,上证资源,SSE,中证指数有限公司,主题指数,20031231,1000,20100528,000068,1
000069.SH,消费80,SSE,中证指数有限公司,主题指数,20031231,1000,20100528,000069,1
000070.SH,能源等权,SSE,中证指数有限公司,策略指数,20031231,1000,20100818,000070,1
000071.SH,材料等权,SSE,中证指数有限公司,策略指数,20031231,1000,20100818,000071,1
000072.SH,工业等权,SSE,中证指数有限公司,策略指数,20031231,1000,20100818,000072,1
000073.SH,可选等权,SSE,中证指数有限公司,策略指数,20031231,1000,20100818,000073,1
000074.SH,消费等权,SSE,中证指数有限公司,策略指数,20031231,1000,20100818,000074,1
000075.SH,医药等权,SSE,中证指数有限公司,策略指数,20031231,1000,20100818,000075,1
000076.SH,金融等权,SSE,中证指数有限公司,策略指数,20031231,1000,20100818,000076,1
000077.SH,信息等权,SSE,中证指数有限公司,策略指数,20031231,1000,20100818,000077,1
000078.SH,通信等权,SSE,中证指数有限公司,策略指数,20031231,1000,20100818,000078,1
000079.SH,公用等权,SSE,中证指数有限公司,策略指数,20031231,1000,20100818,000079,1
000090.SH,上证流通,SSE,中证指数有限公司,规模指数,20091231,1000,20101202,000090,1
000091.SH,沪财中小,SSE,中证指数有限公司,策略指数,20041231,1000,20110406,000091,1
000092.SH,资源50,SSE,中证指数有限公司,主题指数,20031231,1000,20110510,000092,1
000093.SH,180分层,SSE,中证指数有限公司,策略指数,20020628,3299.06,20110524,000093,1
000094.SH,上证上游,SSE,中证指数有限公司,主题指数,20031231,1000,20110510,000094,1
000095.SH,上证中游,SSE,中证指数有限公司,主题指数,20031231,1000,20110510,000095,1
000096.SH,上证下游,SSE,中证指数有限公司,主题指数,20031231,1000,20110510,000096,1
000097.SH,高端装备,SSE,中证指数有限公司,主题指数,20041231,1000,20110524,000097,1
000098.SH,上证F200,SSE,中证指数有限公司,策略指数,20041231,1000,20110701,000098,1
000099.SH,上证F300,SSE,中证指数有限公司,策略指数,20041231,1000,20110701,000099,1
000100.SH,上证F500,SSE,中证指数有限公司,策略指数,20041231,1000,20110701,000100,1
000102.SH,沪投资品,SSE,中证指数有限公司,主题指数,20031231,1000,20110613,000102,1
000103.SH,沪消费品,SSE,中证指数有限公司,主题指数,20031231,1000,20110613,000103,1
000104.SH,380能源,SSE,中证指数有限公司,一级行业指数,20031231,1000,20110613,000104,1
000105.SH,380材料,SSE,中证指数有限公司,一级行业指数,20031231,1000,20110613,000105,1
000106.SH,380工业,SSE,中证指数有限公司,一级行业指数,20031231,1000,20110613,000106,1
000107.SH,380可选,SSE,中证指数有限公司,一级行业指数,20031231,1000,20110613,000107,1
000108.SH,380消费,SSE,中证指数有限公司,一级行业指数,20031231,1000,20110613,000108,1
000109.SH,380医药,SSE,中证指数有限公司,一级行业指数,20031231,1000,20110613,000109,1
000110.SH,380金融,SSE,中证指数有限公司,一级行业指数,20031231,1000,20110613,000110,1
000111.SH,380信息,SSE,中证指数有限公司,一级行业指数,20031231,1000,20110613,000111,1
000112.SH,380电信,SSE,中证指数有限公司,一级行业指数,20031231,1000,20110613,000112,1
000113.SH,380公用,SSE,中证指数有限公司,一级行业指数,20031231,1000,20110613,000113,1
000114.SH,持续产业,SSE,中证指数有限公司,主题指数,20110630,1000,20110822,000114,1
000115.SH,380等权,SSE,中证指数有限公司,策略指数,20031231,1000,20110812,000115,1
000117.SH,380成长,SSE,中证指数有限公司,风格指数,20031231,1000,20111018,000117,1
000118.SH,380价值,SSE,中证指数有限公司,风格指数,20031231,1000,20111018,000118,1
000119.SH,380R成长,SSE,中证指数有限公司,风格指数,20031231,1000,20111018,000119,1
000120.SH,380R价值,SSE,中证指数有限公司,风格指数,20031231,1000,20111018,000120,1
000121.SH,医药主题,SSE,中证指数有限公司,主题指数,20031231,1000,20111018,000121,1
000122.SH,上证农业,SSE,中证指数有限公司,主题指数,20110630,1000,20111018,000122,1
000123.SH,上证180动态,SSE,中证指数有限公司,策略指数,20020628,3299.06,20130208,000123,1
